Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
25-10-2019 20:13:29;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;200.0;13.04;13.91;0.00;-2'621.91;USD;-2'621.91;-1'089.91;USD
25-10-2019 20:13:29;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.04;1.96;0.00;-1'305.96;USD;-1'305.96;1'532.00;USD
25-10-2019 20:13:29;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;200.0;13.04;8.91;0.00;-2'616.91;USD;-2'616.91;2'837.96;USD
25-10-2019 20:13:29;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.04;1.96;0.00;-1'305.96;USD;-1'305.96;5'454.87;USD
25-10-2019 20:13:28;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.04;1.95;0.00;-1'305.95;USD;-1'305.95;6'760.83;USD
25-10-2019 20:13:28;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.04;36.96;0.00;-1'340.96;USD;-1'340.96;8'066.78;USD
25-10-2019 20:08:54;00000000;Einzahlung;;;;1.0;12'000.00;0.00;0.00;12'000.00;CHF;12'000.00;12'000.00;CHF
22-10-2019 15:30:12;65910492;Kauf;AMAT;APPLIED MATERIAL ORD;US0382221051;800.0;52.65;193.18;0.00;-42'313.18;USD;-42'313.18;9'407.74;USD
22-10-2019 08:00:32;65900593;Berichtigung Börsengeb.;TKY;TOKYO ELECTRON ORD;JP3571400005;1.0;1.60;0.00;0.00;1.43;EUR;1.60;51'720.92;USD
22-10-2019 08:00:30;65900593;Verkauf;TKY;TOKYO ELECTRON ORD;JP3571400005;200.0;177.00;224.87;0.00;35'175.12;EUR;38'743.32;51'719.32;USD
18-10-2019 19:37:38;65879671;Kauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;400.0;87.93;182.76;0.00;-35'354.76;USD;-35'354.76;12'976.00;USD
18-10-2019 19:36:16;65879651;Verkauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;800.0;49.37;190.06;0.00;39'305.94;USD;39'305.94;48'330.76;USD
16-10-2019 22:16:14;00000000;Fx-Gutschrift Comp.;;;;1.0;1'374.09;0.00;0.00;1'374.09;CHF;1'374.09;0.00;CHF
16-10-2019 22:16:14;00000000;Fx-Belastung Comp.;;;;1.0;1'398.64;0.00;0.00;-1'398.64;USD;-1'398.64;9'024.82;USD
16-10-2019 15:59:30;65837529;Kauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;400.0;86.31;181.79;0.00;-34'705.79;USD;-35'009.15;-1'374.09;CHF
16-10-2019 15:58:39;65837488;Verkauf;ALGN;ALIGN TECHNOLOGY ORD;US0162551016;200.0;208.68;193.46;0.00;41'542.53;USD;40'873.45;33'635.06;CHF
16-10-2019 15:51:37;65837289;Kauf;NVDA;NVIDIA ORD;US67066G1040;150.0;197.69;139.48;0.00;-29'793.02;USD;-30'059.85;-7'238.39;CHF
15-10-2019 19:55:31;65825237;Kauf;ALGN;ALIGN TECHNOLOGY ORD;US0162551016;200.0;208.56;192.57;0.00;-41'904.56;USD;-42'361.95;22'821.46;CHF
15-10-2019 19:51:28;00000000;Einzahlung;;;;1.0;40'000.00;0.00;0.00;40'000.00;CHF;40'000.00;65'183.41;CHF
11-10-2019 11:51:12;65778492;Kauf;TKY;TOKYO ELECTRON ORD;JP3571400005;200.0;183.00;206.86;0.00;-36'806.91;EUR;-40'963.40;25'183.41;CHF
11-10-2019 11:46:48;00000000;Einzahlung;;;;1.0;50'000.00;0.00;0.00;50'000.00;CHF;50'000.00;66'146.81;CHF
08-10-2019 15:31:50;65717092;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;1040.0;48.20;160.17;0.00;-50'288.17;USD;-50'468.50;16'146.81;CHF
