199809   ,-3.54    ,1.83   ,-2.58    ,0.46
199810    ,9.32   ,-4.25    ,3.10    ,0.32
199811    ,4.07   ,-0.78    ,1.23    ,0.31
199812    ,2.49   ,-1.45   ,-2.35    ,0.38
199901    ,0.13    ,0.68   ,-2.69    ,0.35
199902   ,-2.38    ,2.25   ,-1.92    ,0.35
199903    ,3.80    ,0.38    ,2.05    ,0.43
199904    ,4.51    ,2.89    ,3.78    ,0.37
199905   ,-4.26    ,3.54   ,-0.81    ,0.34
199906    ,4.52    ,3.56    ,0.00    ,0.40
199907    ,3.06    ,0.82    ,0.04    ,0.38
199908    ,1.41    ,2.41   ,-1.00    ,0.39
199909    ,1.68    ,0.71   ,-1.96    ,0.39
199910    ,3.12   ,-3.46   ,-3.77    ,0.39
199911    ,4.42   ,-1.06  ,-10.82    ,0.36
199912    ,7.60   ,-4.69   ,-6.17    ,0.44
200001   ,-6.21    ,6.97   ,-1.82    ,0.41
200002    ,3.25    ,4.03  ,-10.21    ,0.43
200003    ,2.40   ,-4.45    ,5.98    ,0.47
200004   ,-6.65   ,-5.04    ,4.13    ,0.46
200005   ,-2.99    ,0.91    ,5.98    ,0.50
200006    ,3.17    ,0.89    ,4.55    ,0.40
200007   ,-4.39   ,-1.17    ,3.56    ,0.48
200008    ,1.23    ,1.02   ,-1.55    ,0.50
200009   ,-5.26    ,0.08    ,3.58    ,0.51
200010   ,-4.49   ,-5.85    ,7.43    ,0.56
200011   ,-4.21   ,-1.21    ,9.72    ,0.51
200012    ,1.37   ,-0.05    ,4.98    ,0.50
200101    ,0.39    ,1.19   ,-1.69    ,0.54
200102   ,-7.89    ,4.18    ,9.60    ,0.38
200103   ,-8.27   ,-0.70    ,4.62    ,0.42
200104    ,7.59   ,-1.63   ,-0.61    ,0.39
200105   ,-3.14    ,2.86    ,2.89    ,0.32
200106   ,-3.72    ,0.45    ,5.86    ,0.28
200107   ,-3.08   ,-2.02    ,3.52    ,0.30
200108   ,-2.29    ,1.86    ,4.64    ,0.31
200109  ,-10.66   ,-3.33    ,1.72    ,0.28
200110    ,2.62    ,2.06   ,-3.22    ,0.22
200111    ,3.10   ,-0.72   ,-1.71    ,0.17
200112   ,-0.45   ,-2.30    ,0.85    ,0.15
200201   ,-4.74    ,3.03    ,1.94    ,0.14
200202    ,1.18    ,0.10    ,2.29    ,0.13
200203    ,5.10   ,-0.70   ,-0.08    ,0.13
200204    ,0.98    ,1.92    ,3.33    ,0.15
200205    ,2.16    ,2.46    ,4.29    ,0.14
200206   ,-3.36    ,0.88    ,2.00    ,0.13
200207   ,-9.22    ,1.95    ,3.20    ,0.15
200208   ,-0.17   ,-1.43    ,1.59    ,0.14
200209  ,-10.44    ,2.43    ,0.44    ,0.14
200210    ,3.98   ,-5.60   ,-0.81    ,0.14
200211    ,4.20   ,-2.28    ,0.40    ,0.12
200212   ,-2.54    ,3.00    ,2.31    ,0.11
200301   ,-2.68    ,2.93    ,2.01    ,0.10
200302   ,-1.78    ,1.54    ,3.30    ,0.09
200303   ,-1.78    ,0.69    ,0.04    ,0.10
200304    ,9.25   ,-1.59   ,-0.95    ,0.10
200305    ,7.02    ,1.93    ,0.15    ,0.09
200306    ,2.80    ,2.26    ,1.48    ,0.10
200307    ,2.07    ,0.90    ,2.93    ,0.07
200308    ,3.12    ,2.69    ,1.13    ,0.07
200309    ,4.11    ,3.36   ,-0.55    ,0.08
200310    ,5.76    ,0.55    ,1.47    ,0.07
200311    ,1.97   ,-1.84   ,-0.41    ,0.07
200312    ,6.86   ,-1.81    ,1.02    ,0.08
200401    ,2.41    ,3.04    ,2.24    ,0.07
200402    ,2.36    ,0.55    ,0.45    ,0.06
200403    ,1.21    ,4.29    ,0.16    ,0.09
200404   ,-2.77    ,0.58   ,-0.40    ,0.08
200405    ,0.15   ,-2.20   ,-0.31    ,0.06
200406    ,2.83    ,2.04    ,0.60    ,0.08
200407   ,-3.59   ,-0.43    ,2.01    ,0.10
